"Date","AverageFee","BlockHash","BlockNumber","BlockSize","TotalTransactions","TotalFees","Difficulty"
1714540018,9.88951261872456e-05,"0000000000000000000057da3dbb3026332a678aa01fb70229937b8956225398",841603,1522595,3686,0.364428540000002,88104191118793.2
1714538531,7.09387763198042e-05,"00000000000000000000b56eab9413bd9e3471603857ddb5e48d57c46f7c16bb",841602,1402289,3278,0.232466369999994,88104191118793.2
1714538016,8.96578300094957e-05,"000000000000000000021d2561a70ed8d43f0e07d3bbe4cc7958b4bb9e5c27b1",841601,1914433,2107,0.188819389999998,88104191118793.2
1714537871,4.12247461739457e-05,"00000000000000000001e7a21e65d7210a5402fc97736e75090e4223474ef90f",841600,1506567,5359,0.220882189999988,88104191118793.2
1714537482,5.64079740809308e-05,"0000000000000000000294ba6174b061312f9968c1de5c70c557f64aeff3ac29",841599,1590058,3782,0.213278549999996,88104191118793.2
1714537222,5.01189395242197e-05,"0000000000000000000003e3c0978eb8a06f82fc292cf087bcd25f5c0d3b21ec",841598,1668847,3490,0.174864980000004,88104191118793.2
1714537155,4.22931111111117e-05,"000000000000000000024106498d96eb393b458cb99c45946d940962066da28a",841597,1530755,5356,0.226479609999997,88104191118793.2
1714536765,8.2938215792646e-05,"000000000000000000016d7173c2b533fd151d5a4a2433811d3036d9d6f6669f",841596,1464962,3319,0.275189000000003,88104191118793.2
1714535977,3.59631011638319e-05,"00000000000000000000e45da096e66ca989ee95e7458e7f88e0f16f735f4835",841595,1516200,5586,0.200853919999981,88104191118793.2
1714535718,5.99495069885642e-05,"000000000000000000013cb6ee77a9fa2624ad6bb9ff74c8a042e789aba70dad",841594,1797678,3936,0.235901309999993,88104191118793.2
1714535207,0.000119941498371336,"00000000000000000000b020b2eac4f9a00a0eb467950ad06ca22c01b1a31d53",841593,1620613,2764,0.33139836,88104191118793.2
1714533847,6.1150428091774e-05,"00000000000000000000e39991da851110097532b68ffb2a753b741b2ab90120",841592,1935405,3575,0.218551629999993,88104191118793.2
1714533484,0.000106621006010756,"00000000000000000002548020fb3a8d44e89b1aa4c54a79726be46aff69d3f3",841591,1511940,3162,0.337028999999999,88104191118793.2
1714531898,4.61280845181676e-05,"000000000000000000010c952eab2689fe93d579b0e980a42a81bddd963c6944",841590,1584773,5065,0.233592619999983,88104191118793.2
1714531349,0.000103182026925954,"00000000000000000002eec3147c1e6c47d0760311980b2e1f114280d4c9f766",841589,1388309,2675,0.275908740000001,88104191118793.2
1714530429,4.65475910470413e-05,"00000000000000000001e723eefec382360ff26654d22d93d91e7f069c680181",841588,1559757,5273,0.245398899999992,88104191118793.2
1714529900,6.25219971264368e-05,"00000000000000000000de9b29824a89427a286cdff59d9b42cfc2941066229e",841587,1673491,4177,0.261091859999996,88104191118793.2
1714529028,6.61718530430479e-05,"0000000000000000000275091cc4491b9b54496a948c3d5f24b359c74bf361d8",841586,1615739,4043,0.267466630000003,88104191118793.2
1714528595,4.75687860861334e-05,"00000000000000000001403e8f3b5c3c73fb79e383afcf289f8acbf65c7eb2db",841585,1701119,4227,0.201025689999982,88104191118793.2
1714528278,7.8924278846153e-05,"00000000000000000002eab649ba08468aa12b3c1ebb40940b8319d969cd6771",841584,1776597,2289,0.180578749999996,88104191118793.2
1714528127,7.34334122376046e-05,"0000000000000000000283a1daa3afec3916d7777fc9b48dbb6a52932b57955a",841583,1755640,2240,0.164417409999998,88104191118793.2
1714528105,4.72813278916977e-05,"00000000000000000001d306f7d42016bab6b80414814bc7b6397b12b8b2779e",841582,1548753,5024,0.237494109999994,88104191118793.2
1714527601,6.66420522296123e-05,"00000000000000000000af678eaff8716197b9480709fd01832e1cfa5d63d7a6",841581,1590352,4060,0.270500089999994,88104191118793.2
1714526901,7.06926049766721e-05,"000000000000000000025f1b17931413a130de5acc752a15d20d69d88593c23f",841580,1543339,3859,0.272732069999992,88104191118793.2
1714525968,7.38331708683468e-05,"000000000000000000009495e46928bdd0dff69baa2db814cdd6b2a5011e9f97",841579,1546338,3571,0.263584419999994,88104191118793.2
1714525188,5.2276766310277e-05,"00000000000000000001f5d6063a8ec36c45ef66011a27d5ec810500549fc17d",841578,1674555,4584,0.23958441999999,88104191118793.2
