Correlation Matrix:

                                 AverageFee   BlockNumber    BlockSize
AverageFee                     1.0000000000 -0.0892922417 -0.078319541
BlockNumber                   -0.0892922417  1.0000000000 -0.135253939
BlockSize                     -0.0783195408 -0.1352539394  1.000000000
TotalTransactions             -0.1920880195  0.2736919371 -0.165472965
TotalFees                      0.8190966940  0.0441609954 -0.161842226
Difficulty                    -0.0294133732  0.8935630347 -0.132141873
TimeDiffMinutes                0.2313366422  0.0078092585 -0.316315580
HourOfDay                      0.0936426336  0.0005850786 -0.043829831
DayOfWeek                      0.0121514870 -0.0801128131 -0.077137401
IsWeekend                     -0.1325214006 -0.0252688441  0.032845238
TotalFeesLog                   0.8165737782  0.0418073793 -0.172267054
TotalTransactions_Lag1        -0.0254698896  0.2715592733 -0.107004969
BlockSize_Lag1                 0.0382754137 -0.1377201426  0.354278763
TotalFees_Lag1                 0.6304537570  0.0465420715 -0.059620126
TotalFeesLog_Lag1              0.6334035058  0.0441665178 -0.065501817
TotalTransactions_RunningAvg2 -0.0079235853  0.3288299429 -0.117338706
TotalTransactions_RunningAvg3  0.0110731503  0.3632219683 -0.119055718
BlockSize_RunningAvg2          0.0372397702 -0.1571809633  0.383364806
BlockSize_RunningAvg3          0.0329610240 -0.1617212340  0.389689639
TotalFees_RunningAvg2          0.6799448636  0.0585741056 -0.050150023
TotalFees_RunningAvg3          0.6939786814  0.0654392782 -0.039881440
TotalFeesLog_RunningAvg2       0.6804400128  0.0550418657 -0.056386630
TotalFeesLog_RunningAvg3       0.6939145485  0.0612234505 -0.046123603
Interaction_HourIsWeekend     -0.0959700338 -0.0313417743  0.052984856
BlockSize_Squared              0.0395166299 -0.1318162341  0.351934265
BlockSize_Cubed                0.0403887151 -0.1253123702  0.348124864
HourOfDay_Squared              0.1033519906  0.0046027470 -0.029853648
HourOfDay_Cubed                0.1043875475  0.0063869995 -0.017615078
HourOfDay1                    -0.0349654418 -0.0034793078  0.009585681
HourOfDay2                    -0.0234210698  0.0100446298  0.005716260
HourOfDay3                    -0.0203677487  0.0038736600  0.043015916
HourOfDay4                     0.0116325966  0.0095689118 -0.003906996
HourOfDay5                    -0.0118547548 -0.0054866754  0.074869682
HourOfDay6                    -0.0036906735  0.0296785450  0.021064418
HourOfDay7                    -0.0013153629 -0.0074544275  0.002351726
HourOfDay8                    -0.0365279876 -0.0027382269 -0.021391702
HourOfDay9                    -0.0447537038 -0.0016459190 -0.016314230
HourOfDay10                   -0.0038545106 -0.0195463593 -0.011455085
HourOfDay11                   -0.0517101734 -0.0088853571  0.020197440
HourOfDay12                   -0.0106468624 -0.0131185172 -0.033948712
HourOfDay13                   -0.0485147473 -0.0031822593 -0.014807613
HourOfDay14                    0.0032117605 -0.0068678378 -0.017482063
HourOfDay15                    0.0145496936 -0.0277956365 -0.019964057
HourOfDay16                    0.0060461181 -0.0189229639 -0.020071265
HourOfDay17                    0.0307701695  0.0086065247 -0.024014602
HourOfDay18                    0.0678678308  0.0151019539 -0.012912186
HourOfDay19                    0.0167434413  0.0221621479 -0.005290148
HourOfDay20                    0.0334641209  0.0517484130 -0.012402113
HourOfDay21                    0.0303036163 -0.0092274713  0.016429978
HourOfDay22                    0.0611955276 -0.0072332162 -0.026597456
HourOfDay23                    0.0174386653 -0.0149786809  0.035929958
DayOfWeek2                     0.0033632156  0.0393155183  0.031418711
DayOfWeek3                     0.0772041053  0.1120467065  0.012345854
DayOfWeek4                    -0.0002636969 -0.0060686578  0.012580173
DayOfWeek5                     0.0604450941 -0.0435186982 -0.055471984
DayOfWeek6                     0.0273317210 -0.0689469124 -0.040887286
DayOfWeek7                    -0.0775769182 -0.0292305597 -0.016393831
hour_sin                      -0.0907974362 -0.0055960316  0.051982939
hour_cos                       0.0515795868  0.0271191124  0.057560579
day_sin                       -0.0572599248  0.0922830674  0.081346953
day_cos                       -0.1007588933 -0.0853790934 -0.011289793
                              TotalTransactions    TotalFees    Difficulty
AverageFee                        -0.1920880195  0.819096694 -0.0294133732
BlockNumber                        0.2736919371  0.044160995  0.8935630347
BlockSize                         -0.1654729649 -0.161842226 -0.1321418734
TotalTransactions                  1.0000000000  0.342394646  0.2453464358
TotalFees                          0.3423946463  1.000000000  0.0992672613
Difficulty                         0.2453464358  0.099267261  1.0000000000
TimeDiffMinutes                    0.2836601327  0.411879421  0.0135385119
HourOfDay                          0.0277794557  0.105656449 -0.0032799709
DayOfWeek                         -0.0224777805  0.001252008 -0.0467207414
IsWeekend                         -0.0083895742 -0.125549700 -0.0056230632
TotalFeesLog                       0.3521089268  0.997663028  0.0983330136
TotalTransactions_Lag1             0.4132589449  0.190981043  0.2439151962
BlockSize_Lag1                    -0.1379599622 -0.032175050 -0.1338295694
TotalFees_Lag1                     0.2223216551  0.729569247  0.1017652092
TotalFeesLog_Lag1                  0.2267299388  0.733039729  0.1006631376
TotalTransactions_RunningAvg2      0.4527744295  0.225592490  0.2947897034
TotalTransactions_RunningAvg3      0.4692309521  0.248806382  0.3259045854
BlockSize_RunningAvg2             -0.1601615064 -0.044074571 -0.1532380296
BlockSize_RunningAvg3             -0.1631345988 -0.047037616 -0.1595585640
TotalFees_RunningAvg2              0.2237463699  0.775120620  0.1173082668
TotalFees_RunningAvg3              0.2202843789  0.786288319  0.1253998779
TotalFeesLog_RunningAvg2           0.2274458894  0.776045782  0.1150602210
TotalFeesLog_RunningAvg3           0.2240762128  0.786511696  0.1224697533
Interaction_HourIsWeekend         -0.0146338820 -0.092831531 -0.0151417541
BlockSize_Squared                 -0.1383517279 -0.031855123 -0.1289302639
BlockSize_Cubed                   -0.1377321099 -0.031261740 -0.1233114679
HourOfDay_Squared                 -0.0015505020  0.096459649  0.0014742086
HourOfDay_Cubed                   -0.0207430058  0.085013720  0.0045317407
HourOfDay1                        -0.0208463392 -0.046030679  0.0038176283
HourOfDay2                        -0.0267036397 -0.031924879  0.0059693494
HourOfDay3                        -0.0199852704 -0.028312229 -0.0031462617
HourOfDay4                        -0.0503324528 -0.017785072 -0.0020479441
HourOfDay5                         0.0088455608 -0.016012013 -0.0005606841
HourOfDay6                         0.0147043215 -0.002911754  0.0343578678
HourOfDay7                        -0.0261231044 -0.015190237 -0.0065439404
HourOfDay8                         0.0259065845 -0.019641704  0.0044940556
HourOfDay9                         0.0560838502 -0.006615882  0.0024229806
HourOfDay10                       -0.0154412014 -0.010237482 -0.0106961958
HourOfDay11                        0.0202148634 -0.041494980 -0.0016324153
HourOfDay12                        0.0059426265 -0.002755725 -0.0156389530
HourOfDay13                        0.0342746082 -0.020720148 -0.0126332666
HourOfDay14                        0.0279821372  0.022330347 -0.0060680493
HourOfDay15                        0.0403773488  0.032749616 -0.0236986548
HourOfDay16                        0.0323655066  0.023912094 -0.0238367098
HourOfDay17                        0.0368675090  0.054641976 -0.0026501055
HourOfDay18                        0.0048350849  0.075872731  0.0160115325
HourOfDay19                       -0.0003534738  0.021773550  0.0116494130
HourOfDay20                       -0.0133061181  0.019718825  0.0458675268
HourOfDay21                       -0.0165641482  0.012039590 -0.0138978100
HourOfDay22                       -0.0325102719  0.034159933  0.0032528301
HourOfDay23                       -0.0418088905 -0.008132218 -0.0081736850
DayOfWeek2                         0.0188619031  0.012154727  0.0142248139
DayOfWeek3                         0.0047507943  0.068142916  0.0695168137
DayOfWeek4                         0.0149519074  0.002871440 -0.0549616096
DayOfWeek5                        -0.0010816856  0.063712675  0.0212751724
DayOfWeek6                        -0.0249966909  0.013104020 -0.0454272463
DayOfWeek7                        -0.0108721048 -0.077792842 -0.0193013409
hour_sin                          -0.0253695662 -0.105415024  0.0046161870
hour_cos                          -0.1086138247 -0.019871768  0.0258657007
day_sin                            0.0176164988 -0.048021570  0.0459726002
day_cos                           -0.0237761538 -0.101077578 -0.0325760237
                              TimeDiffMinutes     HourOfDay     DayOfWeek
AverageFee                       0.2313366422  0.0936426336  0.0121514870
BlockNumber                      0.0078092585  0.0005850786 -0.0801128131
BlockSize                       -0.3163155800 -0.0438298309 -0.0771374005
TotalTransactions                0.2836601327  0.0277794557 -0.0224777805
TotalFees                        0.4118794212  0.1056564493  0.0012520085
Difficulty                       0.0135385119 -0.0032799709 -0.0467207414
TimeDiffMinutes                  1.0000000000 -0.0157413741  0.0209560726
HourOfDay                       -0.0157413741  1.0000000000 -0.0005153687
DayOfWeek                        0.0209560726 -0.0005153687  1.0000000000
IsWeekend                       -0.0075826590  0.0046687758  0.0272492869
TotalFeesLog                     0.4152993996  0.1100810972  0.0021627311
TotalTransactions_Lag1          -0.0369538569  0.0425592258 -0.0240730549
BlockSize_Lag1                   0.0106501516 -0.0477101991 -0.0685894248
TotalFees_Lag1                  -0.0582344191  0.1124772906  0.0024449149
TotalFeesLog_Lag1               -0.0572199976  0.1153723839  0.0035461256
TotalTransactions_RunningAvg2   -0.0520437815  0.0536007571 -0.0308360596
TotalTransactions_RunningAvg3   -0.0489831791  0.0580381412 -0.0315495980
BlockSize_RunningAvg2           -0.0080543285 -0.0609286777 -0.0861558011
BlockSize_RunningAvg3           -0.0055088064 -0.0734222226 -0.1009673277
TotalFees_RunningAvg2           -0.0614326707  0.1252054886 -0.0003980527
TotalFees_RunningAvg3           -0.0642904306  0.1304018312  0.0013957533
TotalFeesLog_RunningAvg2        -0.0603088893  0.1277239294  0.0013746085
TotalFeesLog_RunningAvg3        -0.0630363477  0.1326639079  0.0028434981
Interaction_HourIsWeekend       -0.0107772874  0.3134231389  0.0229339062
BlockSize_Squared                0.0122168809 -0.0482898362 -0.0664367350
BlockSize_Cubed                  0.0135282168 -0.0483882595 -0.0638926351
HourOfDay_Squared               -0.0148719866  0.9660345100  0.0050238853
HourOfDay_Cubed                 -0.0130852508  0.9125064497  0.0085741891
HourOfDay1                      -0.0056170475 -0.3148429607  0.0269471471
HourOfDay2                       0.0027722401 -0.2814185661 -0.0203623060
HourOfDay3                       0.0108569871 -0.2562347106  0.0281715755
HourOfDay4                       0.0061545670 -0.2457232712  0.0110294324
HourOfDay5                      -0.0058710479 -0.2035687622 -0.0014664721
HourOfDay6                       0.0151905568 -0.1739029072 -0.0006796713
HourOfDay7                      -0.0209865064 -0.1392067029 -0.0266022744
HourOfDay8                       0.0069785502 -0.1106566562  0.0047705526
HourOfDay9                       0.0179110654 -0.0786948842 -0.0028298198
HourOfDay10                      0.0030554986 -0.0497910854  0.0144593988
HourOfDay11                     -0.0041229969 -0.0162211591 -0.0078130190
HourOfDay12                      0.0016276569  0.0161399794 -0.0045623088
HourOfDay13                      0.0163668162  0.0435042823 -0.0223098919
HourOfDay14                     -0.0209965560  0.0860980686 -0.0325494045
HourOfDay15                      0.0078960035  0.0999786732  0.0010602089
HourOfDay16                     -0.0025231821  0.1337165175  0.0152034634
HourOfDay17                     -0.0058402365  0.1793924038  0.0196813374
HourOfDay18                      0.0130211534  0.2013551380 -0.0046028589
HourOfDay19                     -0.0191685967  0.2265419986  0.0124683712
HourOfDay20                     -0.0268322953  0.2592764201 -0.0317709692
HourOfDay21                     -0.0214298315  0.3005791348  0.0149106297
HourOfDay22                      0.0199691220  0.3035013506  0.0048455357
HourOfDay23                      0.0057105388  0.3333254999  0.0130581818
DayOfWeek2                      -0.0067981136 -0.0159053068 -0.4139848295
DayOfWeek3                       0.0073643220  0.0263041117 -0.2244525797
DayOfWeek4                      -0.0026688629 -0.0005613027 -0.0133579165
DayOfWeek5                       0.0014655365 -0.0215255836  0.1906194509
DayOfWeek6                       0.0097234464  0.0048340729  0.4108055365
DayOfWeek7                       0.0103529617  0.0036319680  0.6131025295
hour_sin                         0.0183358084 -0.7890836830  0.0001121354
hour_cos                        -0.0013134256 -0.0952891676  0.0235872923
day_sin                         -0.0135660819  0.0077267265 -0.7299267560
day_cos                          0.0004016873 -0.0035375960  0.3895292811
                                  IsWeekend TotalFeesLog TotalTransactions_Lag1
AverageFee                    -0.1325214006  0.816573778           -0.025469890
BlockNumber                   -0.0252688441  0.041807379            0.271559273
BlockSize                      0.0328452382 -0.172267054           -0.107004969
TotalTransactions             -0.0083895742  0.352108927            0.413258945
TotalFees                     -0.1255496998  0.997663028            0.190981043
Difficulty                    -0.0056230632  0.098333014            0.243915196
TimeDiffMinutes               -0.0075826590  0.415299400           -0.036953857
HourOfDay                      0.0046687758  0.110081097            0.042559226
DayOfWeek                      0.0272492869  0.002162731           -0.024073055
IsWeekend                      1.0000000000 -0.131435288           -0.011036769
TotalFeesLog                  -0.1314352882  1.000000000            0.197240578
TotalTransactions_Lag1        -0.0110367692  0.197240578            1.000000000
BlockSize_Lag1                 0.0279003659 -0.040699406           -0.167572405
TotalFees_Lag1                -0.1230736213  0.738661729            0.333420447
TotalFeesLog_Lag1             -0.1283775062  0.743837576            0.343708677
TotalTransactions_RunningAvg2 -0.0178698466  0.231646773            0.794881156
TotalTransactions_RunningAvg3 -0.0177465709  0.255291861            0.697376814
BlockSize_RunningAvg2          0.0298617482 -0.053445494           -0.184524442
BlockSize_RunningAvg3          0.0257479454 -0.056685320           -0.180766534
TotalFees_RunningAvg2         -0.1289300636  0.783895742            0.288123774
TotalFees_RunningAvg3         -0.1305934637  0.794718858            0.264601747
TotalFeesLog_RunningAvg2      -0.1348075230  0.786625031            0.295245667
TotalFeesLog_RunningAvg3      -0.1366292764  0.796801373            0.270157306
Interaction_HourIsWeekend      0.8198147760 -0.098592202           -0.009683628
BlockSize_Squared              0.0302573484 -0.040368026           -0.181923333
BlockSize_Cubed                0.0321394903 -0.039717441           -0.193656851
HourOfDay_Squared              0.0091809055  0.100859523            0.013516950
HourOfDay_Cubed                0.0088490290  0.089020192           -0.006746970
HourOfDay1                     0.0279904960 -0.046369286           -0.032343652
HourOfDay2                     0.0015969220 -0.034049510           -0.026803867
HourOfDay3                    -0.0318685642 -0.029881416           -0.027954251
HourOfDay4                    -0.0150814605 -0.018793737           -0.066327346
HourOfDay5                     0.0004045604 -0.016846395           -0.002610948
HourOfDay6                     0.0001219614 -0.004446928            0.016867790
HourOfDay7                     0.0039060973 -0.017604444           -0.017777899
HourOfDay8                    -0.0113526074 -0.019670881            0.021900518
HourOfDay9                     0.0004045604 -0.008492788            0.043298051
HourOfDay10                   -0.0175385637 -0.012396700           -0.010329963
HourOfDay11                    0.0030064378 -0.041916483            0.013285056
HourOfDay12                   -0.0076447260 -0.001960377            0.019468241
HourOfDay13                   -0.0057164729 -0.020625427            0.029813412
HourOfDay14                    0.0043808321  0.024743142            0.036324228
HourOfDay15                   -0.0264165020  0.034657504            0.029722794
HourOfDay16                   -0.0050258693  0.026959859            0.036819482
HourOfDay17                    0.0172817265  0.053850962            0.036181863
HourOfDay18                    0.0218480851  0.076283249            0.004503996
HourOfDay19                   -0.0064318204  0.022549529            0.020313434
HourOfDay20                    0.0283393732  0.022817575           -0.010338824
HourOfDay21                    0.0243102448  0.013629284           -0.016156452
HourOfDay22                    0.0043954700  0.033209036           -0.029027759
HourOfDay23                   -0.0329418588 -0.006697071           -0.038006727
DayOfWeek2                    -0.2532118155  0.010381735            0.013570344
DayOfWeek3                    -0.2655598419  0.073588568            0.013594708
DayOfWeek4                    -0.2407887239  0.004557824            0.007874019
DayOfWeek5                    -0.2596097110  0.062792334            0.001386528
DayOfWeek6                    -0.2695603508  0.016106429           -0.021257089
DayOfWeek7                     0.6652886592 -0.081185493           -0.015938672
hour_sin                      -0.0254232895 -0.110936098           -0.042194935
hour_cos                       0.0177490185 -0.020271210           -0.109981717
day_sin                        0.3409556723 -0.050371388            0.016467315
day_cos                        0.7170434071 -0.106003333           -0.025322087
                              BlockSize_Lag1 TotalFees_Lag1 TotalFeesLog_Lag1
AverageFee                       0.038275414   0.6304537570      0.6334035058
