ROWS WITH MISSING VALUES
-----------------
                    Date AverageFee                                                        BlockHash BlockNumber BlockSize
271  2024-05-05 18:17:16         NA 000000000000000000016723e406014cc954927d57a89d8f67bb6765a4ee0930      842220       456
618  2024-05-03 04:57:14         NA 00000000000000000000e6eecf0ecd283943c8a16e64c21cebac6ba7332ff43f      841873       477
1136 2024-04-29 10:29:45         NA 0000000000000000000309ac5ca6eb22bd6246a068906df0767b5f93edd0b39a      841355       477
1364 2024-04-27 17:32:58         NA 00000000000000000001a72cf36c19a5cf2f2213b85fb13b6ca1962c23f23b8c      841127       473
1375 2024-04-27 15:42:01         NA 0000000000000000000115e08d76f302a6107091833fdf0bfc69117b976fb040      841116       258
1435 2024-04-27 05:59:35         NA 0000000000000000000277417cc46beab80a0e905bf98ed3bf7898e573e93498      841056       456
2070 2024-04-23 00:00:04         NA 0000000000000000000177b6168f190eb131075b3303f61794cb89657c7aca0e      840421       267
2519 2024-04-19 20:20:54         NA 000000000000000000028eab7fe04dd7c17abc312e8d5989f1b3d191e7f0d707      839972       257
2621 2024-04-19 03:11:37         NA 0000000000000000000112c80ada778f3a63ca9e270ed546a6470904f0c58136      839870       257
3028 2024-04-16 09:41:50         NA 0000000000000000000129c02410864cf1db5414d6d36c9ff3634fc3ea39beb6      839463       477
3465 2024-04-13 12:48:48         NA 000000000000000000021628b2bd3e6a918e863ec1dd9c6f1bdadba7953b9ea5      839026       270
3491 2024-04-13 09:29:24         NA 0000000000000000000204e442f3fad9aa17ee756fd464cf9f56efa3bd98a24d      839000       456
3542 2024-04-13 01:05:07         NA 000000000000000000002bafb434231b209f94c1672444356dc98b8b6044bf7b      838949       275
3585 2024-04-12 19:11:01         NA 00000000000000000000b224ff6edde57c9dab643a2e05b617be656545e06355      838906       475
4540 2024-04-06 08:20:51         NA 000000000000000000020318946171d58c41bcc6a0b6bf02eaae4e36d947cac9      837951       375
5476 2024-03-30 21:37:18         NA 000000000000000000034717fddc741f514cd4545c47c8d43fba67199be34fea      837015       257
5694 2024-03-29 12:40:44         NA 00000000000000000002bf7dfeca98bd193e66043e8a97c52a5cfe0527f9b0a0      836797       314
6744 2024-03-22 07:00:12         NA 00000000000000000000f963f8aa4e94923d7fcd94d66c4fa44d9c833e33e866      835747       456
7049 2024-03-19 23:39:24         NA 000000000000000000033213065903a49344256e852d78cca906d72f78f3da03      835442       204
7340 2024-03-18 00:51:21         NA 00000000000000000000d3e86f31a24c768d3807d5d247d0e2669ed7f81ca1b9      835151       473
7720 2024-03-15 08:15:55         NA 0000000000000000000211725cf447be488652db900e5b4870c013e4de150b39      834771       386
7965 2024-03-13 16:05:36         NA 000000000000000000007fe1002c2d272bed9d87a5ae3bd48d67e746f7e83888      834526       409
8034 2024-03-13 04:52:38         NA 00000000000000000002fc9dd40562a07afd3f1234f9855d1be2d433d0061c2d      834457       339
8369 2024-03-11 00:39:29         NA 000000000000000000017a13a152eb235d6ddb165fb40f40941d855dde232d0c      834122       257
8466 2024-03-10 09:38:47         NA 000000000000000000007b18142fe155660f6d1bde3a8a2c31dc5fca93a964ee      834025       258
9430 2024-03-04 05:48:29         NA 000000000000000000025b454cad39c997f62864f709bdb0223cabef30a604c3      833061       409
9621 2024-03-02 21:18:08         NA 00000000000000000003029d81f9fb6a9efa176b9211cdf5f22ebc1630c118ae      832870       258
9854 2024-03-01 04:58:44         NA 000000000000000000038671538ed6bca7ba46ec5657aa8c6e34c2fe115085b2      832637       315
     TotalTransactions TotalFees   Difficulty
271                  1         0 8.810419e+13
618                  1         0 8.810419e+13
1136                 1         0 8.810419e+13
1364                 1         0 8.810419e+13
1375                 1         0 8.810419e+13
1435                 1         0 8.810419e+13
2070                 1         0 8.638856e+13
2519                 1         0 8.638856e+13
2621                 1         0 8.638856e+13
3028                 1         0 8.638856e+13
3465                 1         0 8.638856e+13
3491                 1         0 8.638856e+13
3542                 1         0 8.638856e+13
3585                 1         0 8.638856e+13
4540                 1         0 8.312700e+13
5476                 1         0 8.312700e+13
5694                 1         0 8.312700e+13
6744                 1         0 8.394791e+13
7049                 1         0 8.394791e+13
7340                 1         0 8.394791e+13
7720                 1         0 8.394791e+13
7965                 1         0 7.935123e+13
8034                 1         0 7.935123e+13
8369                 1         0 7.935123e+13
8466                 1         0 7.935123e+13
9430                 1         0 7.935123e+13
9621                 1         0 7.935123e+13
9854                 1         0 7.935123e+13
