Correlation Matrix:

                                AverageFee   BlockNumber   BlockSize
AverageFee                     1.000000000 -0.0892922417 -0.07831954
BlockNumber                   -0.089292242  1.0000000000 -0.13525394
BlockSize                     -0.078319541 -0.1352539394  1.00000000
TotalTransactions             -0.192088020  0.2736919371 -0.16547296
TotalFees                      0.819096694  0.0441609954 -0.16184223
Difficulty                    -0.029413373  0.8935630347 -0.13214187
TimeDiffMinutes                0.231336642  0.0078092585 -0.31631558
HourOfDay                      0.093642634  0.0005850786 -0.04382983
DayOfWeek                      0.012151487 -0.0801128131 -0.07713740
IsWeekend                     -0.132521401 -0.0252688441  0.03284524
TotalFeesLog                   0.816573778  0.0418073793 -0.17226705
TotalTransactions_Lag1        -0.025469890  0.2715592733 -0.10700497
BlockSize_Lag1                 0.038275414 -0.1377201426  0.35427876
TotalFees_Lag1                 0.630453757  0.0465420715 -0.05962013
TotalFeesLog_Lag1              0.633403506  0.0441665178 -0.06550182
TotalTransactions_RunningAvg2 -0.007923585  0.3288299429 -0.11733871
TotalTransactions_RunningAvg3  0.011073150  0.3632219683 -0.11905572
BlockSize_RunningAvg2          0.037239770 -0.1571809633  0.38336481
BlockSize_RunningAvg3          0.032961024 -0.1617212340  0.38968964
TotalFees_RunningAvg2          0.679944864  0.0585741056 -0.05015002
TotalFees_RunningAvg3          0.693978681  0.0654392782 -0.03988144
TotalFeesLog_RunningAvg2       0.680440013  0.0550418657 -0.05638663
TotalFeesLog_RunningAvg3       0.693914549  0.0612234505 -0.04612360
Interaction_HourIsWeekend     -0.095970034 -0.0313417743  0.05298486
BlockSize_Squared              0.039516630 -0.1318162341  0.35193426
BlockSize_Cubed                0.040388715 -0.1253123702  0.34812486
HourOfDay_Squared              0.103351991  0.0046027470 -0.02985365
HourOfDay_Cubed                0.104387547  0.0063869995 -0.01761508
hour_sin                      -0.090797436 -0.0055960316  0.05198294
hour_cos                       0.051579587  0.0271191124  0.05756058
day_sin                       -0.057259925  0.0922830674  0.08134695
day_cos                       -0.100758893 -0.0853790934 -0.01128979
                              TotalTransactions    TotalFees   Difficulty
AverageFee                         -0.192088020  0.819096694 -0.029413373
BlockNumber                         0.273691937  0.044160995  0.893563035
BlockSize                          -0.165472965 -0.161842226 -0.132141873
TotalTransactions                   1.000000000  0.342394646  0.245346436
TotalFees                           0.342394646  1.000000000  0.099267261
Difficulty                          0.245346436  0.099267261  1.000000000
TimeDiffMinutes                     0.283660133  0.411879421  0.013538512
HourOfDay                           0.027779456  0.105656449 -0.003279971
DayOfWeek                          -0.022477781  0.001252008 -0.046720741
IsWeekend                          -0.008389574 -0.125549700 -0.005623063
TotalFeesLog                        0.352108927  0.997663028  0.098333014
TotalTransactions_Lag1              0.413258945  0.190981043  0.243915196
BlockSize_Lag1                     -0.137959962 -0.032175050 -0.133829569
TotalFees_Lag1                      0.222321655  0.729569247  0.101765209
TotalFeesLog_Lag1                   0.226729939  0.733039729  0.100663138
TotalTransactions_RunningAvg2       0.452774430  0.225592490  0.294789703
TotalTransactions_RunningAvg3       0.469230952  0.248806382  0.325904585
BlockSize_RunningAvg2              -0.160161506 -0.044074571 -0.153238030
BlockSize_RunningAvg3              -0.163134599 -0.047037616 -0.159558564
TotalFees_RunningAvg2               0.223746370  0.775120620  0.117308267
TotalFees_RunningAvg3               0.220284379  0.786288319  0.125399878
TotalFeesLog_RunningAvg2            0.227445889  0.776045782  0.115060221
TotalFeesLog_RunningAvg3            0.224076213  0.786511696  0.122469753
Interaction_HourIsWeekend          -0.014633882 -0.092831531 -0.015141754
BlockSize_Squared                  -0.138351728 -0.031855123 -0.128930264
BlockSize_Cubed                    -0.137732110 -0.031261740 -0.123311468
HourOfDay_Squared                  -0.001550502  0.096459649  0.001474209
HourOfDay_Cubed                    -0.020743006  0.085013720  0.004531741
hour_sin                           -0.025369566 -0.105415024  0.004616187
hour_cos                           -0.108613825 -0.019871768  0.025865701
day_sin                             0.017616499 -0.048021570  0.045972600
day_cos                            -0.023776154 -0.101077578 -0.032576024
                              TimeDiffMinutes     HourOfDay     DayOfWeek
AverageFee                       0.2313366422  0.0936426336  0.0121514870
BlockNumber                      0.0078092585  0.0005850786 -0.0801128131
BlockSize                       -0.3163155800 -0.0438298309 -0.0771374005
TotalTransactions                0.2836601327  0.0277794557 -0.0224777805
TotalFees                        0.4118794212  0.1056564493  0.0012520085
Difficulty                       0.0135385119 -0.0032799709 -0.0467207414
TimeDiffMinutes                  1.0000000000 -0.0157413741  0.0209560726
HourOfDay                       -0.0157413741  1.0000000000 -0.0005153687
DayOfWeek                        0.0209560726 -0.0005153687  1.0000000000
IsWeekend                       -0.0075826590  0.0046687758  0.0272492869
TotalFeesLog                     0.4152993996  0.1100810972  0.0021627311
TotalTransactions_Lag1          -0.0369538569  0.0425592258 -0.0240730549
BlockSize_Lag1                   0.0106501516 -0.0477101991 -0.0685894248
TotalFees_Lag1                  -0.0582344191  0.1124772906  0.0024449149
TotalFeesLog_Lag1               -0.0572199976  0.1153723839  0.0035461256
TotalTransactions_RunningAvg2   -0.0520437815  0.0536007571 -0.0308360596
TotalTransactions_RunningAvg3   -0.0489831791  0.0580381412 -0.0315495980
BlockSize_RunningAvg2           -0.0080543285 -0.0609286777 -0.0861558011
BlockSize_RunningAvg3           -0.0055088064 -0.0734222226 -0.1009673277
TotalFees_RunningAvg2           -0.0614326707  0.1252054886 -0.0003980527
TotalFees_RunningAvg3           -0.0642904306  0.1304018312  0.0013957533
TotalFeesLog_RunningAvg2        -0.0603088893  0.1277239294  0.0013746085
TotalFeesLog_RunningAvg3        -0.0630363477  0.1326639079  0.0028434981
Interaction_HourIsWeekend       -0.0107772874  0.3134231389  0.0229339062
BlockSize_Squared                0.0122168809 -0.0482898362 -0.0664367350
BlockSize_Cubed                  0.0135282168 -0.0483882595 -0.0638926351
HourOfDay_Squared               -0.0148719866  0.9660345100  0.0050238853
HourOfDay_Cubed                 -0.0130852508  0.9125064497  0.0085741891
hour_sin                         0.0183358084 -0.7890836830  0.0001121354
hour_cos                        -0.0013134256 -0.0952891676  0.0235872923
day_sin                         -0.0135660819  0.0077267265 -0.7299267560
day_cos                          0.0004016873 -0.0035375960  0.3895292811
                                 IsWeekend TotalFeesLog TotalTransactions_Lag1
AverageFee                    -0.132521401  0.816573778           -0.025469890
BlockNumber                   -0.025268844  0.041807379            0.271559273
BlockSize                      0.032845238 -0.172267054           -0.107004969
TotalTransactions             -0.008389574  0.352108927            0.413258945
TotalFees                     -0.125549700  0.997663028            0.190981043
Difficulty                    -0.005623063  0.098333014            0.243915196
TimeDiffMinutes               -0.007582659  0.415299400           -0.036953857
HourOfDay                      0.004668776  0.110081097            0.042559226
DayOfWeek                      0.027249287  0.002162731           -0.024073055
IsWeekend                      1.000000000 -0.131435288           -0.011036769
TotalFeesLog                  -0.131435288  1.000000000            0.197240578
TotalTransactions_Lag1        -0.011036769  0.197240578            1.000000000
BlockSize_Lag1                 0.027900366 -0.040699406           -0.167572405
TotalFees_Lag1                -0.123073621  0.738661729            0.333420447
TotalFeesLog_Lag1             -0.128377506  0.743837576            0.343708677
